Date,Time,AM_PM,Car_ID,Employee_Name,Location,,,
01/06/14,09:00,AM,23,Samantha,Kronos Pipe and Irrigation,,,
01/06/14,09:00,AM,28,Laura Dan,Bean There Done That,,,
01/06/14,09:00,AM,32,Kara Gruff,Bean There Done That,,,
01/06/14,10:00,AM,11,Robert,Kronos Pipe and Irrigation,,,
01/08/14,11:00,AM,31,Emily,Roberts and Sons,,,
01/06/14,11:15,AM,1,Sara,Coffee Shack,,,
01/06/14,11:15,AM,2,Sasha,Coffee Cameleon,,,
01/06/14,11:15,AM,3,Karen,Coffee Shack,,,
01/06/14,11:15,AM,5,Kaly,Coffee Cameleon,,,
01/06/14,11:15,AM,37,David,Coffee Cameleon,,,
01/15/14,12:30,PM,18,Olivia,Hallowed Grounds,,,
01/11/14,01:45,PM,10,James,Frydos Autosupply n' More,,,
01/10/14,02:00,PM,26,Ava,Desafio Golf Course,,,
01/16/14,03:00,PM,13,Michael,Katerina’s Café,,,
01/13/14,04:00,PM,33,Isabella,Abila Airport,,,
01/14/14,05:00,PM,7,Benjamin,Coffee Shack,,,
01/14/14,06:00,PM,42,Mia,Guy's Gyros,,,
01/14/14,06:00,PM,29,William,Chostus Hotel,,,
01/09/14,09:35,PM,19,Sophia,Kronos Pipe and Irrigation,,,
01/06/14,09:00,PM,25,Daniel,Maximum Iron and Steel,,,
01/12/14,10:03,PM,15,Charlotte,Carlyle Chemical Inc.,,,
01/09/14,11:10,PM,6,Joseph,Ouzeri Elian,,,
01/14/14,12:31,AM,41,Amelia,Shoppers' Delight,,,
01/08/14,01:40,AM,22,Christopher,Ahaggo Museum,,,
01/17/14,02:00,AM,36,Madison,Hippokampos,,,
01/16/14,03:20,AM,1,Alexander,Abila Airport,,,
01/09/14,04:00,AM,16,Abigail,Albert's Fine Clothing,,,
01/15/14,06:00,AM,9,Ethan,Stewart and Sons Fabrication,,,
01/15/14,06:00,AM,4,Elizabeth,Octavio's Office Supplies,,,
01/06/14,07:20,AM,39,Daniel,Gelatogalore,,,
01/11/14,08:35,AM,27,Natalie,U-Pump,,,
01/06/14,09:00,AM,35,Ryan,Bean There Done That,,,
01/06/14,10:00,AM,12,Grace,Kronos Pipe and Irrigation,,,
01/19/14,11:30,AM,38,Andrew,Carlyle Chemical Inc.,,,
01/13/14,12:35,PM,28,Chloe,Kalami Kafenion,,,
01/08/14,01:50,PM,43,Nicholas,Frank's Fuel,,,
01/14/14,05:00,PM,24,Lily,Coffee Shack,,,
01/18/14,03:20,PM,14,Matthew,Hallowed Grounds,,,
01/07/14,04:35,PM,32,Victoria,General Grocer,,,
01/14/14,05:00,PM,2,Jacob,Coffee Cameleon,,,
01/16/14,06:00,PM,20,Isabella,Nationwide Refinery,,,
